Player,Pos,Age,Min,MP,Goals
Rafinha,FWMF,29.0,220,5,0.0
Antonio Raillo,DF,30.0,1530,17,0.12
Antonio Raimondo,FW,18.0,74,1,0.0
Predrag Rajkovi?,GK,26.0,3420,38,0.0
Jesuran Rak Sakyi,FWMF,19.0,80,2,0.0
Ivan Rakiti?,MF,34.0,2182,35,0.17
Diant Ramaj,GK,20.0,90,1,0.0
Jonás Ramalho,DF,28.0,243,3,0.0
Adil Rami,DF,36.0,1171,17,0.23
Sandro Ramírez,FW,26.0,1462,29,0.19
Guilherme Ramos,DF,24.0,906,13,0.0
Sergio Ramos,DF,36.0,801,12,0.22
Aaron Ramsdale,GK,24.0,3060,34,0.0
Aaron Ramsey,MF,31.0,99,3,0.0
Jacob Ramsey,MF,21.0,2467,34,0.22
Luca Ranieri,DF,23.0,2103,27,0.04
Andrea Ranocchia,DF,34.0,341,6,0.0
Tobias Raschl,MF,22.0,597,10,0.0
Elba Rashani,FWMF,29.0,1759,29,0.41
Marcus Rashford,FWMF,24.0,1235,25,0.29
Milot Rashica,FWMF,25.0,2229,31,0.04
Giacomo Raspadori,MFFW,22.0,2740,36,0.33
Raúl,FW,21.0,1,1,0.0
David Raum,DF,24.0,2757,32,0.1
Nicola Ravaglia,GK,33.0,5,1,0.0
David Raya,GK,26.0,2160,24,0.0
Ante Rebi?,FW,28.0,891,24,0.2
Arkadiusz Reca,DF,26.0,1772,25,0.0
Lluís Recasens,DF,20.0,45,1,0.0
Nathan Redmond,MFFW,28.0,1833,27,0.05
Sergio Reguilón,DF,25.0,1916,25,0.09
Manolo Reina,GK,37.0,1890,21,0.0
Pepe Reina,GK,39.0,1350,15,0.0
Jeff Reine-Adélaïde,MF,24.0,198,10,0.0
Reinier,FWMF,20.0,162,13,0.0
Karim Rekik,DF,27.0,1098,18,0.0
Álex Remiro,GK,27.0,3150,35,0.0
Panagiotis Retsos,DFFW,23.0,32,4,0.0
Panagiotis Retsos,DFMF,23.0,55,5,0.0
Marco Reus,MFFW,32.0,2503,29,0.32
Elvis Rexhbeçaj,MF,24.0,2542,32,0.0
Gio Reyna,MF,19.0,439,10,0.41
Bryan Reynolds,DF,20.0,2,1,0.0
Nico Ribaudo,MFFW,21.0,1116,31,0.16
Tiago Ribeiro,FW,20.0,2,1,0.0
Franck Ribéry,MFFW,39.0,1421,23,0.0
Samuele Ricci,MF,20.0,1530,21,0.06
Samuele Ricci,MF,20.0,722,12,0.0
Declan Rice,MF,23.0,3179,36,0.03
Chris Richards,DF,22.0,1304,19,0.07
Chris Richards,DF,22.0,3,1,0.0
Omar Richards,DF,24.0,438,12,0.0
Taylor Richards,MFFW,21.0,25,2,0.0
Richarlison,FWMF,25.0,2523,30,0.36
Marco Richter,FWMF,24.0,1704,30,0.26
Diego Rico,DF,29.0,1644,21,0.0
Sergio Rico,GK,28.0,23,1,0.0
Sergio Rico,GK,28.0,1260,14,0.0
Jaïro Riedewald,MF,25.0,118,3,0.0
Manuel Riemann,GK,33.0,2790,31,0.0
Tomás Rincón,MFFW,34.0,163,7,0.0
Tomás Rincón,MF,34.0,1166,17,0.0
Luis Rioja,FWMF,28.0,3111,37,0.03
Renaud Ripart,FWDF,29.0,1893,28,0.1
Mihailo Risti?,DF,26.0,1803,29,0.05
Matt Ritchie,DF,32.0,1337,18,0.0
Maxence Rivera,FW,19.0,5,1,0.0
Rober,DF,27.0,2010,27,0.04
Sergi Roberto,MFDF,30.0,400,9,0.45
Connor Roberts,DF,26.0,1692,21,0.05
Patrick Roberts,DF,25.0,14,1,0.0
Tyler Roberts,MFFW,23.0,987,23,0.09
Andrew Robertson,DF,28.0,2537,29,0.11
Marc Roca,MF,25.0,379,9,0.0
Rubén Rochina,MFFW,31.0,743,15,0.12
Cimo Röcker,DF,28.0,22,1,0.0
Enzo Roco,DF,29.0,2552,30,0.04
Stian Rode Gregersen,DF,27.0,1953,24,0.05
Sebastian Rode,MF,31.0,759,17,0.12
Joe Rodon,DF,24.0,89,3,0.0
Rodri,MF,25.0,2884,33,0.22
Rodrigo,MFFW,31.0,2265,31,0.24
Rodrigo,FW,22.0,881,21,0.1
Gerson Rodrigues,FW,26.0,848,12,0.11
Kévin Rodrigues,DFFW,28.0,435,13,0.0
Óscar Rodríguez Arnaiz,FWMF,23.0,417,11,0.0
Óscar Rodríguez Arnaiz,MFFW,23.0,943,18,0.0
Ángel Rodríguez,FW,35.0,1544,29,0.17
Dani Rodríguez,MFFW,33.0,2832,36,0.1
Guido Rodríguez,MF,28.0,2529,32,0.04
Jay Rodriguez,FW,32.0,1382,29,0.13
Ricardo Rodríguez,DF,29.0,2473,34,0.0
Rodrygo,FW,21.0,1459,32,0.25
Mads Roerslev,DF,22.0,1240,21,0.07
Marko Rog,MF,26.0,311,8,0.0
Rogério,DF,24.0,1729,23,0.0
Alessio Romagnoli,DF,27.0,1409,19,0.06
Simone Romagnoli,DF,32.0,1497,19,0.12
Leonardo Román,GK,21.0,180,2,0.0
Cristian Romero,DF,24.0,1844,22,0.05
Iván Romero,FW,21.0,178,5,0.0
Luka Romero,FW,17.0,84,8,0.0
Sergio Romero,GK,35.0,1440,16,0.0
Oriol Romeu,MF,30.0,2889,36,0.06
Cristiano Ronaldo,FW,37.0,2456,30,0.66
Cristiano Ronaldo,FW,37.0,31,1,0.0
Salomón Rondón,FW,32.0,790,20,0.11
Valentin Rongier,DFMF,27.0,2194,32,0.0
Marten de Roon,MFDF,31.0,2548,30,0.11
Unai Ropero,MF,20.0,12,1,0.0
Pablo Rosario,MF,25.0,2729,36,0.0
Romario Rösch,MF,22.0,1,1,0.0
Danny Rose,DF,31.0,689,8,0.0
Francesco Rossi,GK,31.0,37,1,0.0
Tom Rothe,DF,17.0,94,2,1.0
Jérôme Roussillon,DF,29.0,1775,26,0.05
Nicolò Rovella,MF,20.0,1468,21,0.0
Jon Rowe,FWMF,19.0,223,13,0.0
Amir Rrahmani,DF,28.0,2927,33,0.12
Ruan,DF,22.0,214,10,0.0
Rubén,DF,21.0,150,4,0.0
John Ruddy,GK,35.0,135,2,0.0
Antonio Rüdiger,DF,29.0,3035,34,0.09
Sebastian Rudy,MF,32.0,773,21,0.35
Daniele Rugani,DF,27.0,879,12,0.0
Matteo Ruggeri,DF,19.0,676,14,0.0
Mário Rui,DF,31.0,2992,34,0.0
Aitor Ruibal,FWDF,26.0,856,19,0.0
Fabián Ruiz Peña,MF,26.0,2384,32,0.26
Isma Ruiz,MF,21.0,283,8,0.0
Víctor Ruiz,DF,33.0,1424,18,0.0
Gerónimo Rulli,GK,30.0,2880,32,0.0
Lukas Rupp,MF,31.0,769,19,0.0
Alessandro Russo,MF,18.0,29,1,0.0
Franco Russo,DF,27.0,1464,19,0.06
Georginio Rutter,FWMF,20.0,1611,33,0.45
Mathew Ryan,GK,30.0,270,3,0.0
Julian Ryerson,DF,24.0,1429,28,0.13
Frederik Rønnow,GK,29.0,630,7,0.0
José Sá,GK,29.0,3285,37,0.0
Roli Pereira de Sa,MF,25.0,573,17,0.0
Youssouf Sabaly,DF,29.0,788,10,0.0
Mathys Saban,FWMF,20.0,73,3,0.0
Stefano Sabelli,DF,29.0,348,7,0.0
Abdelhamid Sabiri,MFFW,25.0,893,14,0.3
Marcel Sabitzer,MFFW,28.0,49,2,0.0
Marcel Sabitzer,MFDF,28.0,905,25,0.1
Falaye Sacko,DF,27.0,667,9,0.0
Alexis Saelemaekers,FW,22.0,1865,36,0.05
Rafiki Said Ahamada,MFFW,22.0,122,14,0.0
Wesley Saïd,FWMF,27.0,654,21,0.68
Allan Saint-Maximin,FWMF,25.0,2804,35,0.16
Romain Saïss,DF,32.0,2705,31,0.07
Bukayo Saka,FWMF,20.0,2978,38,0.33
Mamadou Sakho,DF,32.0,2575,29,0.0
Bakary Sako,FWMF,34.0,156,7,0.0
Jacopo Sala,MF,30.0,880,18,0.1
Mohamed Salah,FW,29.0,2762,35,0.75
Eddie Salcedo,MFFW,20.0,429,12,0.0
William Saliba,DF,21.0,3240,36,0.0
Romain Salin,GK,37.0,90,1,0.0
Mohammed Salisu,DF,23.0,2972,34,0.0
Roland Sallai,MFFW,25.0,1551,31,0.23
Yoann Salmier,DF,29.0,2668,31,0.0
Salvi,MFFW,31.0,1395,23,0.13
Lazar Samardzic,MF,20.0,490,22,0.37
Diadie Samassékou,MF,26.0,1655,24,0.11
Mama Samba Baldé,FWMF,26.0,1717,30,0.16
Albert Sambi Lokonga,MF,22.0,1134,19,0.0
Junior Sambia,DFFW,25.0,1533,30,0.06
Luigi Samele,FW,20.0,5,2,0.0
Fede San Emeterio,MF,25.0,830,12,0.0
Antonio Sanabria,FW,26.0,1803,29,0.3
Oihan Sancet,FW,22.0,1422,27,0.38
Renato Sanches,MF,24.0,1651,25,0.11
Alexis Sánchez,FW,33.0,881,27,0.51
Antonio Sánchez,MFFW,25.0,1616,29,0.06
Davinson Sánchez,DF,25.0,1631,23,0.11
Germán Sánchez,DF,35.0,2209,31,0.08
Juan Sánchez,MF,18.0,5,1,0.0
Manuel Sánchez,DF,21.0,2257,33,0.04
Robert Sánchez,GK,24.0,3329,37,0.0
Jadon Sancho,FWMF,22.0,1900,29,0.14
Philippe Sandler,DF,25.0,70,2,0.0
Alex Sandro,DF,31.0,1780,28,0.0
Leroy Sané,FWMF,26.0,1976,32,0.32
Oier Sanjurjo,MF,36.0,758,25,0.12
Mohamed Sankoh,FW,18.0,4,1,0.0
Morgan Sanson,MF,27.0,356,10,0.0
Nicola Sansone,FWMF,30.0,896,27,0.2
Baptiste Santamaria,MF,27.0,21,1,0.0
Baptiste Santamaria,MFDF,27.0,2518,34,0.07
Federico Santander,FWDF,30.0,67,7,1.43
Jesús Santiago,MF,18.0,82,3,0.0
Samir Santos,DF,27.0,1421,17,0.0
Samir Santos,DF,27.0,1673,19,0.0
Sergio Santos,DF,21.0,11,1,0.0
Alvaro Sanz,MF,21.0,29,2,0.0
Riccardo Saponara,FW,30.0,1284,29,0.21
Pablo Sarabia,FW,30.0,22,2,5.0
Marcelo Saracchi,DF,24.0,186,4,0.0
Josh Sargent,FWMF,22.0,1572,26,0.11
Jeremy Sarmiento,FWMF,19.0,48,5,0.0
Bouna Sarr,DF,30.0,64,5,0.0
Ismaila Sarr,FWMF,24.0,1861,22,0.24
Malang Sarr,DF,23.0,546,8,0.0
Joan Sastre Vanrell,DF,25.0,258,7,0.0
Giacomo Satalino,GK,23.0,8,1,0.0
Martin Satriano,FWMF,21.0,38,4,0.0
Martin Satriano,FW,21.0,932,15,0.38
Téji Savanier,MF,30.0,2414,29,0.3
Esteban Saveljich,DF,31.0,1700,21,0.0
Stefan Savi?,DF,31.0,2440,28,0.0
Joseph Scally,DF,19.0,1909,30,0.05
Giorgio Scalvini,DFMF,18.0,763,18,0.12
Gianluca Scamacca,FW,23.0,2146,36,0.67
Dane Scarlett,MF,18.0,4,1,0.0
Kevin Schade,FWMF,20.0,831,21,0.43
András Schäfer,MF,23.0,239,8,0.37
Fabian Schär,DF,30.0,2158,25,0.08
Louis Schaub,MFFW,27.0,654,28,0.14
Andrea Schiavone,MF,29.0,571,14,0.16
Patrik Schick,FW,26.0,2076,27,1.04
Kingsley Schindler,DFMF,28.0,349,18,0.26
Xaver Schlager,MF,24.0,1040,14,0.0
Keven Schlotterbeck,DF,25.0,315,12,0.0
Nico Schlotterbeck,DF,22.0,2785,32,0.13
Jeffrey Schlupp,MFFW,29.0,1851,32,0.19
Kasper Schmeichel,GK,35.0,3330,37,0.0
Jonathan Schmid,DF,31.0,588,13,0.0
Benno Schmitz,DF,27.0,2421,31,0.0
David Schnegg,DF,23.0,142,4,0.0
Morgan Schneiderlin,MF,32.0,649,20,0.0
Alessandro Schöpf,MF,28.0,2397,31,0.04
Jerdy Schouten,MF,25.0,1392,17,0.06
Nico Schulz,DF,29.0,836,16,0.0
Marvin Schwäbe,GK,27.0,1890,21,0.0
Alexander Schwolow,GK,29.0,2175,25,0.0
Valentino Scotta,DF,20.0,1,1,0.0
Demba Seck,FWMF,21.0,146,6,0.0
Aleksandar Sedlar,DFMF,30.0,404,10,0.0
Paul Seguin,MF,27.0,2108,27,0.0
Alidu Seidu,DF,21.0,1410,21,0.0
Davie Selke,FW,27.0,1004,25,0.36
Matz Sels,GK,30.0,3330,37,0.0
Ken Sema,MFFW,28.0,852,18,0.0
Nélson Semedo,DF,28.0,2131,25,0.0
Lion Semi?,DF,18.0,3,1,0.0
Adrian emper,GK,24.0,90,1,0.0
Stefano Sensi,MF,26.0,167,9,0.0
Stefano Sensi,MF,26.0,754,11,0.12
Luigi Sepe,GK,31.0,1392,16,0.0
Suat Serdar,MFFW,25.0,2218,30,0.12
Laurens Serpe,DF,21.0,45,1,0.0
Janni Serra,FW,24.0,1117,26,0.24
Javier Serrano,MF,19.0,68,5,0.0
Nicolás Serrano,MF,19.0,317,14,0.29
Zidan Sertdemir,MFFW,17.0,18,3,0.0
Ryan Sessegnon,DF,22.0,1047,15,0.0
Nils Seufert,MF,25.0,99,4,0.0
Salva Sevilla,MF,38.0,1507,28,0.3
Stephan El Shaarawy,DFFW,29.0,1055,27,0.26
Jamie Shackleton,DFMF,22.0,709,14,0.0
Xherdan Shaqiri,FWMF,30.0,679,11,0.27
Luke Shaw,DF,26.0,1601,20,0.0
Jonjo Shelvey,MF,30.0,1983,24,0.09
Aimar Sher,MF,19.0,45,1,0.0
Eldor Shomurodov,FWMF,26.0,784,28,0.34
Shola Shoretire,FW,18.0,16,1,0.0
Mahame Siby,MFDF,25.0,17,2,0.0
Aboubakar Sidibé,FW,26.0,6,1,0.0
Alassane Sidibe,FW,19.0,6,1,0.0
Djibril Sidibé,DF,29.0,949,17,0.0
Kaj Sierhuis,FW,24.0,80,2,0.0
Francisco Sierralta,DF,25.0,427,5,0.0
Arnór Sigur?sson,MFFW,23.0,183,9,0.0
Kiliann Sildillia,DF,20.0,169,7,0.0
Adrien Silva,MF,33.0,1083,17,0.0
André Silva,FW,26.0,2076,33,0.48
Bernardo Silva,MFFW,27.0,2857,35,0.25
Caio Henrique Oliveira Silva,DF,24.0,2662,34,0.07
David Silva,MF,36.0,1720,25,0.1
Fábio Silva,FW,19.0,572,22,0.0
Gabriel Silva,DF,31.0,713,13,0.0
Jonathan Silva,DFMF,27.0,226,9,0.0
Rui Silva,GK,28.0,1964,22,0.0
Thiago Silva,DF,37.0,2650,32,0.1
Marco Silvestri,GK,31.0,3150,35,0.0
Mohamed Simakan,DF,22.0,2009,28,0.04
Giovanni Simeone,FW,26.0,2653,35,0.58
Giovanni Simeone,FW,26.0,7,1,0.0
Giuliano Simeone,DF,19.0,1,1,0.0
Ellis Simms,FW,21.0,61,1,0.0
Moses Simon,FWMF,26.0,2332,30,0.23
Unai Simón,GK,24.0,3060,34,0.0
Xavi Simons,FWMF,19.0,132,6,0.0
Wilfried Singo,DF,21.0,2607,35,0.1
Daley Sinkgraven,DF,26.0,351,12,0.0
Tobias Sippel,GK,34.0,90,1,0.0
Hugo Siquet,DF,19.0,22,1,0.0
Salvatore Sirigu,GK,35.0,3330,37,0.0
Issouf Sissokho,MF,20.0,436,7,0.0
Ibrahima Sissoko,MFDF,24.0,2303,35,0.08
Moussa Sissoko,MF,32.0,3220,36,0.06
Nelson Sissoko,DF,25.0,45,1,0.0
Sambou Sissoko,MFDF,23.0,176,8,0.0
Antonio Sivera,GK,25.0,277,4,0.0
Ellyes Skhiri,MF,27.0,1820,22,0.2
Oliver Skipp,MF,21.0,1350,18,0.0
Leo Skiri Østigård,DF,22.0,1172,15,0.0
?ukasz Skorupski,GK,31.0,3240,36,0.0
Andreas Skov Olsen,DFFW,22.0,747,18,0.0
Robert Skov,DFFW,26.0,368,12,0.0
Milan kriniar,DF,27.0,3150,35,0.09
Islam Slimani,FW,33.0,573,12,0.16
William Smallbone,MFFW,22.0,133,4,0.0
Chris Smalling,DF,32.0,2091,27,0.13
Emile Smith Rowe,MFFW,21.0,1921,33,0.47
Cédric Soares,DF,30.0,1486,21,0.06
Danilo Soares,DF,30.0,2564,30,0.0
Rubén Sobrino,FWMF,29.0,1861,33,0.19
Rubén Sobrino,MF,29.0,14,1,0.0
Alex Sola,DFFW,22.0,41,2,0.0
Augusto Solari,MFDF,30.0,714,26,0.0
Roberto Soldado,FW,37.0,664,18,0.41
Carlos Soler,MF,25.0,2474,32,0.4
Yann Sommer,GK,33.0,2970,33,0.0
Son,DF,28.0,1971,26,0.05
Brandon Soppy,DFMF,20.0,777,28,0.0
David Soria,GK,29.0,3414,38,0.0
Roberto Soriano,MFFW,31.0,2622,35,0.0
Alberto Soro,MFFW,23.0,578,16,0.0
Borna Sosa,DF,24.0,2498,28,0.04
Hugo Sotelo,MF,18.0,2,1,0.0
Florian Sotoca,FWMF,31.0,2480,35,0.22
Riccardo Sottil,FW,22.0,1239,24,0.22
Tomá Sou?ek,MF,27.0,3062,35,0.15
Matìas Soulé,FW,19.0,5,2,0.0
Sambou Soumano,FW,21.0,447,21,0.6
Adama Soumaoro,DF,29.0,2266,28,0.0
Boubakary Soumaré,MF,23.0,1102,19,0.0
Arnaud Souquet,DF,30.0,2334,34,0.04
Djibril Sow,MF,25.0,2415,31,0.07
Saidou Sow,DF,19.0,989,13,0.18
Çaðlar Söyüncü,DF,26.0,2497,28,0.04
Leonardo Spinazzola,DF,29.0,127,3,0.0
Marco Sportiello,GK,30.0,450,5,0.0
Tony Springett,FWMF,19.0,141,3,0.0
Jerry St. Juste,DF,25.0,604,8,0.15
Anton Stach,MF,23.0,1861,29,0.05
Kostas Stafylidis,DFMF,28.0,1388,24,0.0
Luca Stanga,DF,20.0,3,1,0.0
Josip Stanii?,DF,22.0,644,13,0.14
Niklas Stark,DFMF,27.0,2031,26,0.04
Jason Steele,GK,31.0,90,1,0.0
Jed Steer,GK,29.0,90,1,0.0
Renato Steffen,FWMF,30.0,967,20,0.0
Zack Steffen,GK,27.0,90,1,0.0
Calvin Stengs,MF,23.0,1073,24,0.08
Pascal Stenzel,DF,26.0,899,16,0.0
Dale Stephens,MF,32.0,124,3,0.0
Jack Stephens,DF,28.0,811,11,0.0
Raheem Sterling,FW,27.0,2128,30,0.55
Finley Stevens,DF,19.0,15,1,0.0
Angelo Stiller,MF,21.0,1693,26,0.11
Lars Stindl,MFFW,33.0,1629,26,0.22
Riccardo Stivanello,DF,18.0,45,1,0.0
Kevin Stöger,MFFW,28.0,419,23,0.21
Petar Stojanovi?,DF,26.0,2735,33,0.03
John Stones,DF,28.0,1119,14,0.08
Thomas Strakosha,GK,27.0,2070,23,0.0
Stefan Strandberg,DF,31.0,933,11,0.0
Dávid Strelec,FWMF,21.0,502,10,0.18
Tobias Strobl,MFDF,32.0,323,5,0.0
Kevin Strootman,MF,32.0,640,10,0.0
Pascal Struijk,DF,22.0,2055,29,0.04
Jens Stryger Larsen,DF,31.0,684,11,0.0
Leo tulac,MF,27.0,833,23,0.22
Stefano Sturaro,MF,29.0,1766,25,0.0
Damián Suárez,DF,34.0,2711,35,0.0
Denis Suárez,MF,28.0,2819,38,0.13
Luis Suárez,FW,35.0,1835,35,0.54
Mario Suárez,DF,35.0,712,14,0.0
Isaac Success,FW,26.0,911,22,0.2
Niklas Süle,DF,26.0,1837,28,0.05
Kamaldeen Sulemana,MFFW,20.0,1015,20,0.35
Crysencio Summerville,MFFW,20.0,130,6,0.0
Vladyslav Supriaha,FW,22.0,22,1,0.0
Suso,FW,28.0,384,8,0.0
Bosko Sutalo,DF,22.0,920,24,0.0
Mattias Svanberg,MF,23.0,2564,36,0.11
Michael Svoboda,DF,23.0,1236,18,0.0
Abdoulaye Sylla,DF,22.0,157,2,0.0
Mamadou Sylla,FW,28.0,394,13,0.0
Mamadou Sylla,FWMF,28.0,253,12,0.0
Ádám Szalai,FW,34.0,260,12,0.34
Wojciech Szcz?sny,GK,32.0,2970,33,0.0
Dominik Szoboszlai,MFFW,21.0,1543,31,0.35
Jakob Sørensen,MFDF,24.0,604,10,0.0
Alexander Sørloth,FW,26.0,1763,33,0.2
Tachi,DF,24.0,239,5,0.0
Jonathan Tah,DF,26.0,2878,33,0.06
Waniss Taibi,MFDF,20.0,132,7,0.0
Flavien Tait,MF,29.0,2125,28,0.21
Adrien Tameze,MFDF,28.0,2574,38,0.14
Japhet Tanganga,DF,23.0,735,11,0.0
Renato Tapia,MF,26.0,1412,29,0.0
Edmond Tapsoba,DF,23.0,1814,22,0.05
Florian Tardieu,MF,30.0,2632,30,0.14
Matt Targett,DF,26.0,1431,17,0.06
Matt Targett,DF,26.0,1440,16,0.0
Oussama Targhalline,FW,20.0,5,2,0.0
James Tarkowski,DF,29.0,3106,35,0.03
Ciprian T?t?ru?anu,GK,36.0,540,6,0.0
Niklas Tauer,DFMF,21.0,487,11,0.0
Nuno Tavares,DF,22.0,1176,22,0.08
Charlie Taylor,DF,28.0,2731,31,0.0
Loum Tchaouna,FWMF,18.0,87,10,0.0
Warren Tchimbembé,MF,24.0,205,9,0.0
Aurélien Tchouaméni,MF,22.0,2929,35,0.09
Mathys Tel,FWMF,17.0,56,7,0.0
Jordan Tell,FW,24.0,290,15,0.31
Nathan Tella,MFFW,22.0,804,14,0.0
Alex Telles,DF,29.0,1660,21,0.0
Cristian Tello,FWMF,30.0,819,23,0.22
Nahuel Tenaglia,DF,26.0,1073,14,0.0
Marc Tenas,FWMF,20.0,54,3,0.0
Marc-André ter Stegen,GK,30.0,3150,35,0.0
Filippo Terracciano,DF,19.0,7,1,0.0
Pietro Terracciano,GK,32.0,2862,32,0.0
Martin Terrier,FWMF,25.0,2779,37,0.68
Aleksa Terzi?,DF,22.0,274,14,0.0
Robert Tesche,MF,35.0,349,11,0.0
Tanner Tessmann,MF,20.0,680,20,0.0
Tetê,FWMF,22.0,583,9,0.31
Cedric Teuchert,MFFW,25.0,105,6,0.0
Arthur Theate,DF,22.0,2424,31,0.07
Jan Thielmann,MFFW,20.0,1192,29,0.23
Sada Thioub,DF,26.0,950,17,0.0
Sada Thioub,MF,26.0,3,1,0.0
Luke Thomas,DF,20.0,1912,22,0.0
Romain Thomas,DF,33.0,2563,30,0.07
Adrien Thomasson,MF,28.0,2389,31,0.3
Erik Thommy,DFFW,27.0,274,11,0.0
Dominic Thompson,DF,21.0,146,2,0.0
Morten Thorsby,MF,26.0,2943,35,0.09
Thuler,DF,23.0,855,16,0.0
Marcus Thuram,FWMF,24.0,979,21,0.28
Khéphren Thuram-Ulie,MF,21.0,1901,36,0.19
Alexis Tibidi,FWMF,18.0,385,13,0.0
Cheikh Tidiane Sabaly,FWMF,23.0,150,6,0.0
Youri Tielemans,MF,25.0,2631,32,0.21
Kieran Tierney,DF,24.0,1915,22,0.05
Steffen Tigges,FWMF,23.0,112,9,2.5
Malik Tillman,FWMF,20.0,104,4,0.0
Timothy Tillman,MF,23.0,2004,29,0.04
David Timor,MF,32.0,341,7,0.0
Jean-Clair Todibo,DF,22.0,3115,36,0.03
Umut Tohumcu,MF,17.0,5,1,0.0
Karl Toko Ekambi,FW,29.0,2296,30,0.47
Corentin Tolisso,MF,27.0,703,15,0.26
Jeremy Toljan,DF,27.0,1399,20,0.0
Rafael Tolói,DF,31.0,1438,20,0.06
Raúl de Tomás,FW,27.0,2914,34,0.52
Tiago Tomás,FW,19.0,1075,14,0.34
Takehiro Tomiyasu,DF,23.0,10,1,0.0
Takehiro Tomiyasu,DF,23.0,1679,21,0.0
James Tomkins,DF,33.0,547,8,0.16
Fikayo Tomori,DF,24.0,2718,31,0.0
Sandro Tonali,MF,22.0,2600,36,0.17
Lorenzo Tonelli,DF,32.0,870,14,0.0
Ivan Toney,FW,26.0,2909,33,0.37
Ernesto Torregrossa,FW,29.0,116,10,0.0
Lucas Torreira,MF,26.0,2195,31,0.2
Raúl Torrente,DF,21.0,1282,18,0.0
Ferrán Torres,FW,22.0,303,4,0.59
Ferrán Torres,FW,22.0,1412,18,0.25
Óliver Torres,MFFW,27.0,1008,26,0.18
Pau Torres,DF,25.0,2855,33,0.16
Roberto Torres,MFFW,33.0,809,28,0.22
Lucas Torró,MF,27.0,2725,33,0.03
Jordan Torunarigha,DF,24.0,483,7,0.0
Cenk Tosun,FW,30.0,7,1,0.0
Abdoulaye Touré,MF,28.0,430,8,0.0
Almamy Touré,DF,26.0,506,10,0.0
Lucas Tousart,MF,25.0,1962,30,0.09
Yoann Touzghar,FW,35.0,1457,28,0.25
Andros Townsend,MF,30.0,1455,21,0.19
Adama Traoré,FWDF,26.0,382,11,0.0
Adama Traoré,FW,26.0,1067,20,0.08
Amadou Traore,FW,20.0,19,1,0.0
Bertrand Traoré,MFFW,26.0,220,9,0.0
Boubacar Traoré,MF,20.0,1726,27,0.05
Charles Traore,DF,30.0,718,16,0.0
Hamari Traoré,DF,30.0,2890,33,0.09
Ismaël Traoré,DF,35.0,3215,37,0.11
Kevin Trapp,GK,31.0,2880,32,0.0
Miguel Trauco,DF,29.0,1112,17,0.08
Óscar Trejo,MF,34.0,2007,32,0.13
Trézéguet,FW,27.0,11,1,0.0
Manu Trigueros,MFFW,30.0,2178,35,0.25
Simone Trimboli,MF,20.0,65,5,0.0
Christopher Trimmel,DF,35.0,1990,25,0.09
Francisco Trincão,FWMF,22.0,1336,28,0.14
Kieran Trippier,DF,31.0,429,6,0.42
Kieran Trippier,DF,31.0,976,15,0.0
William Troost-Ekong,DF,28.0,1390,17,0.0
Leandro Trossard,FWMF,27.0,2805,34,0.26
Adrien Truffert,DF,20.0,1639,30,0.16
Philipp Tschauner,GK,36.0,3,1,0.0
Kostas Tsimikas,DF,26.0,877,13,0.0
Axel Tuanzebe,DF,24.0,508,9,0.0
Axel Tuanzebe,DF,24.0,11,1,0.0
Ozan Tufan,MF,27.0,334,7,0.0
Beñat Turrientes,MF,20.0,207,8,0.0
Tuta,DF,22.0,2183,26,0.16
Christos Tzolis,FWMF,20.0,336,14,0.0
Iyenoma Udogie,DF,19.0,2477,35,0.18
Matthieu Udol,DF,26.0,1007,12,0.09
Ike Ugbo,FW,23.0,814,14,0.56
Chimuanya Ugochukwu,MF,18.0,405,18,0.22
Hwang Ui-jo,FW,29.0,2508,32,0.39
Anthony Ujah,FWMF,31.0,35,3,0.0
Maximilian Ullmann,DF,25.0,246,5,0.0
Sven Ulreich,GK,33.0,540,6,0.0
Samuel Umtiti,DF,28.0,90,1,0.0
Enes Ünal,FW,25.0,2798,37,0.51
Cengiz Ünder,FWMF,24.0,2200,32,0.41
Dayot Upamecano,DF,23.0,2211,28,0.04
Benjamin Uphoff,GK,28.0,180,2,0.0
Kacper Urbanski,MF,17.0,45,1,0.0
Jere Uronen,DF,27.0,878,15,0.0
Mark Uth,MFFW,30.0,2025,30,0.22
Myrto Uzuni,MFFW,26.0,856,15,0.11
Antonio Vacca,MF,32.0,1064,21,0.0
Álvaro Vadillo,MFDF,27.0,7,3,0.0
Óscar Valentín,MF,27.0,2569,35,0.0
Germán Valera,FWMF,20.0,51,3,0.0
Yan Valery,DF,23.0,370,5,0.0
Martin Valjent,DF,26.0,3181,36,0.0
Jesús Vallejo,DF,25.0,341,5,0.0
Manu Vallejo,MFFW,25.0,370,11,0.24
Manu Vallejo,FWMF,25.0,98,9,0.0
Federico Valverde,MF,23.0,1833,31,0.0
Vanderson,FWMF,20.0,1120,17,0.16
Zinho Vanheusden,DF,22.0,989,14,0.0
Jonathan Varane,MF,20.0,1,1,0.0
Raphaël Varane,DF,29.0,1831,22,0.05
Jamie Vardy,FW,35.0,1806,25,0.75
Ruben Vargas,MFFW,23.0,1984,29,0.05
Sebastian Vasiliadis,MF,24.0,1193,19,0.0
Johan Vásquez,DF,23.0,2279,28,0.04
Denis Vavro,DF,26.0,8,1,0.0
José Luis García Vayá,MF,23.0,2012,29,0.0
