Player Name,Appearances,Goals Scored,Assists Provided,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90
Ao Tanaka,3,1,0,0.00,1.57,1.57,5.23
Yuki Soma,1,0,0,2.20,0.00,2.20,6.59
Takuma Asano,4,1,0,0.56,0.56,0.00,1.12
Shuto Machino,0,0,0,0,0,0,0
Ayase Ueda,0,0,0,0,0,0,0
Daizen Maeda,3,1,0,0.00,1.48,1.48,3.90
Kim Seung0gyu,4,0,0,0,0,0,0
Jo Hyeon0woon,0,0,0,0,0,0,0
Song Bum0keun,0,0,0,0,0,0,0
Kim Min0jae,3,0,0,0.33,0.67,0.67,7.66
Kim Jin0su,4,0,1,0.57,0.85,2.85,10.26
Hong Chul,1,0,0,2.05,2.05,0.00,4.05
Kim Moon0hwan,4,0,0,1.00,1.00,2.25,5.75
Yoon Jong0gyu,0,0,0,0,0,0,0
Kim Young0gwon,4,1,0,0.00,0.77,0.77,4.36
Kim Tae0hwan,"N,A","N,A","N,A","N,A","N,A","N,A","N,A"
Kwon Kyung0won,4,0,0,0.00,0,0,0
Cho Yu0min,1,0,0,0,0,0,0
Jung Woo0young,4,0,0,0.00,0.59,1.48,5.04
Na Sang0ho,2,0,0,3.05,0.00,3.05,7.63
Paik Seung0ho,1,1,0,0.00,0.00,10.80,0
Son Jun0ho,3,0,0,0.00,3.91,3.91,3.91
Song Min0kyu,0,0,0,0,0,0,0
Kwon Chang0hoon,1,0,0,0,0,0,0
Lee Jae0sung,3,0,0,1.26,1.26,2.10,5.89
Hwang In0beom,4,0,0,1.07,0.81,1.07,2.96
Lee Kang0in,4,0,1,0.62,0.00,2.47,5.55
Son Heung0min,4,0,1,3.25,0.50,1.25,3.50
Hwang Hee0chan,2,1,0,7.11,0.00,0.79,5.53
Jeong Woo0yeong,1,0,0,1.96,0.00,0.00,0.00
Hwang Ui0jo,4,0,0,0.86,0.00,0.00,2.57
Cho Gue0sung,0,0,0,0,0,0,0
Robert Sanchez,0,0,0,0,0,0,0
David Raya,0,0,0,0,0,0,0
Unai Simon,4,0,0,0,0,0,0
Cesar Azpilicueta,2,0,1,0.00,0.66,0.66,3.31
Jordi Alba,4,0,2,1.02,1.02,2.37,4.74
Hugo Guillamon,3,1,0,0,0,0,0
Pau Torrres,1,0,0,0.00,0.00,0.00,1.00
Eric Garcia,3,0,0,0,0,0,0
Alejandro Balde,4,0,0,0.00,0.00,4.35,5.08
Dani Carvajal,2,0,0,0.00,1.34,0.67,1.34
Aymeric Laporte,3,0,0,0.00,0.60,0.60,4.20
Sergio Busquets,4,0,0,0.25,0.25,1.73,6.68
Marcos Llorente,1,0,0,0.00,0.00,0.00,0.00
Pedri,4,0,0,2.02,1.01,1.01,3.53
Rodri,4,0,0,0.00,0.69,1.15,8.77
Koke,2,0,0,0.00,0.00,1.80,1.80
Gavi,4,1,0,0.94,0.31,2.51,8.78
Carlos Soler,2,1,0,1.00,0.00,0.00,2.00
Alvaro Morata,4,3,1,1.48,0.00,0.49,2.95
Yeremy Pino,0,0,0,0,0,0,0
Ferran Torres,4,2,0,4.52,0.00,0.00,2.88
Marco Asensio,4,1,0,0.78,0.00,0.39,1.56
Pablo Sarabia,1,0,0,0,0,0,0
